nohup: ignoring input
###training start~~~~
hash_gan.py:286: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](222/58368): Loss_D: 105.4517746 Loss_G: 0.3823
===> Epoch[0](223/58368): Loss_D: 108.6047363 Loss_G: 0.3831
===> Epoch[0](224/58368): Loss_D: 107.9234085 Loss_G: 0.3824
===> Epoch[0](225/58368): Loss_D: 108.0600204 Loss_G: 0.3821
===> Epoch[0](226/58368): Loss_D: 108.1226959 Loss_G: 0.3819
===> Epoch[0](227/58368): Loss_D: 109.3656387 Loss_G: 0.3816
####################################
('map:', 0.11949982795511062)
===> Epoch[1](228/58368): Loss_D: 108.4185944 Loss_G: 0.3826
===> Epoch[1](229/58368): Loss_D: 106.7159576 Loss_G: 0.3809
===> Epoch[1](230/58368): Loss_D: 105.5248337 Loss_G: 0.3812
===> Epoch[1](231/58368): Loss_D: 106.5112152 Loss_G: 0.3801
===> Epoch[1](232/58368): Loss_D: 104.2454758 Loss_G: 0.3807
===> Epoch[1](233/58368): Loss_D: 107.0455017 Loss_G: 0.3812
===> Epoch[1](234/58368): Loss_D: 106.3920212 Loss_G: 0.3808
===> Epoch[1](235/58368): Loss_D: 106.2427521 Loss_G: 0.3809
===> Epoch[1](236/58368): Loss_D: 105.5472107 Loss_G: 0.3816
===> Epoch[1](237/58368): Loss_D: 107.3932800 Loss_G: 0.3814
===> Epoch[1](238/58368): Loss_D: 107.8158264 Loss_G: 0.3810
===> Epoch[1](239/58368): Loss_D: 105.5295258 Loss_G: 0.3801
===> Epoch[1](240/58368): Loss_D: 106.5611801 Loss_G: 0.3794
===> Epoch[1](241/58368): Loss_D: 108.1364899 Loss_G: 0.3810
===> Epoch[1](242/58368): Loss_D: 104.9516983 Loss_G: 0.3804
===> Epoch[1](243/58368): Loss_D: 106.2361526 Loss_G: 0.3798
===> Epoch[1](244/58368): Loss_D: 107.2103653 Loss_G: 0.3799
===> Epoch[1](245/58368): Loss_D: 105.8434830 Loss_G: 0.3805
===> Epoch[1](246/58368): Loss_D: 106.1319962 Loss_G: 0.3796
===> Epoch[1](247/58368): Loss_D: 106.8338089 Loss_G: 0.3800
===> Epoch[1](248/58368): Loss_D: 105.3327789 Loss_G: 0.3815
===> Epoch[1](249/58368): Loss_D: 104.9121780 Loss_G: 0.3809
===> Epoch[1](250/58368): Loss_D: 106.2197113 Loss_G: 0.3794
===> Epoch[1](251/58368): Loss_D: 105.4511566 Loss_G: 0.3802
===> Epoch[1](252/58368): Loss_D: 105.5200348 Loss_G: 0.3800
===> Epoch[1](253/58368): Loss_D: 106.1616135 Loss_G: 0.3800
===> Epoch[1](254/58368): Loss_D: 106.3534851 Loss_G: 0.3798
===> Epoch[1](255/58368): Loss_D: 106.5706024 Loss_G: 0.3803
===> Epoch[1](256/58368): Loss_D: 104.4280853 Loss_G: 0.3791
===> Epoch[1](257/58368): Loss_D: 108.1379242 Loss_G: 0.3797
===> Epoch[1](258/58368): Loss_D: 105.5985413 Loss_G: 0.3801
===> Epoch[1](259/58368): Loss_D: 104.9748459 Loss_G: 0.3796
===> Epoch[1](260/58368): Loss_D: 105.0500565 Loss_G: 0.3795
===> Epoch[1](261/58368): Loss_D: 106.8069000 Loss_G: 0.3791
===> Epoch[1](262/58368): Loss_D: 105.0543594 Loss_G: 0.3794
===> Epoch[1](263/58368): Loss_D: 105.6416779 Loss_G: 0.3791
===> Epoch[1](264/58368): Loss_D: 105.2740250 Loss_G: 0.3789
===> Epoch[1](265/58368): Loss_D: 106.8900146 Loss_G: 0.3797
===> Epoch[1](266/58368): Loss_D: 103.9969482 Loss_G: 0.3798
===> Epoch[1](267/58368): Loss_D: 107.6009903 Loss_G: 0.3800
